lab;filter_name;shelf;name;weight;unit;producer;quantity;code;sds
1.12;I;4;INDICATOR UNIVERSAL pH 1-11 HYDROALCOHOLIC;500;mL;Carlo Erba;1;E455706;https://www.carloerbareagents.com/cerstorefront/medias/CH0452-EU.pdf?context=bWFzdGVyfHNhZmV0eS1kYXRhLXNoZWV0c3w0MzE0MzZ8YXBwbGljYXRpb24vcGRmfGFESXhMMmczWmk4eE5UUXhOekkxTkRnek9ETXdNaTlEU0RBME5USmZSVlV1Y0dSbXwzNDg3YzhmYTYzMjY4Y2U1N2NhNzZiNzEwMDhjOTUxNjlkYWZkOWJhYTM0MzFjODc4Y2U0MWM0OTg2MjkzN2Q5&attachment=true
1.12;I;4;IODINE 0.05N IN ACQUEOUS SOLUTION;500;mL;VWR;1;85805.260;https://it.vwr.com/assetsvc/asset/en_GB/id/23935736/contents
1.12;L;4;LACTIC ACID SOLUTION;100;g;SIGMA-ALDRICH;1;252476;https://www.sigmaaldrich.com/IT/en/sds/sial/252476
1.12;L;4;LUGOL SOLUTION;1;L;SIGMA-ALDRICH;1;32922;https://www.sigmaaldrich.com/IT/en/sds/sigma/32922
1.12;M;4;METHYLENE BLUE;25;g;BioOptica;1;52015;https://www.bio-optica.it/ftp/sds/EN/SI_05-B14003_CLP.pdf
1.12;M;4;METHYLENE BLUE HYDRATE;25;g;FLUKA;1;32723-25G;https://www.sigmaaldrich.com/IT/en/sds/sial/28514
1.12;M;4;MICROSCOPY OIL;100;mL;MERCK;1;1.04699.0100;https://www.sigmaaldrich.com/IT/en/sds/mm/1.04699
1.12;M;4;MOLYBDATE REAGENT SOLUTION;100;ml;SIGMA-ALDRICH;2;69888;https://www.sigmaaldrich.com/IT/en/sds/sial/69888
1.12;P;4;PECTIN, ESTERIFIED POTASSIUM SALT, FROM CITRUS FRUIT;5;g;SIGMA-ALDRICH;1;P9561-5G;https://www.sigmaaldrich.com/IT/en/sds/sigma/p9561
1.12;P;4;PECTIN, ESTERIFIED POTASSIUM SALT, FROM CITRUS FRUIT;5;g;SIGMA-ALDRICH;1;P9436-5G;https://www.sigmaaldrich.com/IT/en/sds/sigma/p9436
1.12;P;4;p-PHENYLENEDIAMINE;50;g;SIGMA ALDRICH;2;P6001;https://www.sigmaaldrich.com/IT/en/sds/sigma/p6001
1.12;B;4;R (+) 1,2,4 BUTANETRIOL;5;g;SIGMA ALDRICH;1;309710;https://www.sigmaaldrich.com/IT/en/sds/aldrich/309710
1.12;B;4;S (-) 1,2,4 BUTANETRIOL;5;g;SIGMA ALDRICH;1;296678;https://www.sigmaaldrich.com/IT/en/sds/aldrich/296678
